BPS_School_Name,BPS_Historical_Name,BPS_Address,BPS_Grades_Offered,BPS_Property_Status,BPS_Total_GSF,BPS_GSF,BPS_Year_Founded ,BPS_Year_Built,BPS_Plans,BPS_KWH, BPS_Electric_Bill ,BPS_Therms, BPS_Gas_Bill ,BPS_Water_ft_cubic, BPS_Water_Bill , BPS_Total_Energy_Cost ,SMMA_FA_Status,SMMA_FA_School_Enrollment,SMMA_FA_Enrollment_Building,SMMA_FA_Major_Investments,SMMA_FA_Existing_PV,SMMA_FA_space_Solar,SMMA_FA_Roof_Membrane,SMMA_FA_Facade,SMMA_FA_,SMMA_FA_Boilers,SMMA_FA_Heating_Distribution_Systems,SMMA_FA_Ventilation_Distribution_Systems,SMMA_FA_Electrical_Service,SMMA_FA_Means_Egress,SMMA_FA_FP_Sprinklers,SMMA_FA_Life_Safety,SMMA_FA_Security_Entry,SMMA_FA_Lighting_Quantity_Control,SMMA_FA_Toilets_Fixtures,SMMA_FA_Plumbing_Distribution_Systems,SMMA_FA_Accessibility,SMMA_FA_Deterioration_Roof,SMMA_FA_Deterioration_Floor,SMMA_FA_Deterioration_Walls_Columns,SMMA_FA_Deterioration_Foundations,SMMA_FA_Deterioration_Facade,SMMA_FA_lateral_system_identifiable,SMMA_FA_Overall_Building_Condition,SMMA_FA_MHC_Inventory,SMMA_FA_MHC_Register,SMMA_FA_Emergency_Shelter,SMMA_FA_Community_Use_spaces,SMMA_FA_Overall_Community_Building,SMMA_FA_Building_suitability_school,SMMA_FA_susceptible_climate_change_now,SMMA_FA_susceptible_climate_change_2100,SMMA_FA_site_major_investments_10__years,SMMA_FA_building_expandable_current_site,SMMA_FA_Parking_Quality,SMMA_FA_Neighborhood_Streets,SMMA_FA_DropOff_PickUp,SMMA_FA_Walkways_Curbs_Sidewalks,SMMA_FA_MAABADA_Accessibility,SMMA_FA_Site_Lighting,SMMA_FA_Fencing,SMMA_FA_Drainage,SMMA_FA_Play_Areas,SMMA_FA_Walls_Slopes,SMMA_FA_Overall_Site_Condition,SMMA_FA_MHC_Archaeological_Assets,SMMA_FA_Mass_Transit,SMMA_FA_Bikable,SMMA_FA_Walkable,SMMA_FA_Overall_Community_Site,SMMA_FA_Site_suitability_school
"Kennedy, Patrick Elementary",Patrick Kennedy Elementary,"343 Saratoga St East Boston, MA 02128",K0-5,Owned,27086,27086,1926,1933,"CAD plans, site plans",91904,"$14,252.00",8762,"$10,565.00",31890,"$3,858.00","$28,675.00",Phase 3,302,302,Yes,No,Yes,Minor,Adequate,Replace,Replace,Moderate,Replace,Minor,Moderate,Not Present,Replace,Minor,Minor,Replace,Moderate,Replace,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Fair,Not Listed,Not Listed,No,No,Poor,Yes,No,Yes,Yes,Yes,Replace,Moderate,Moderate,Replace,Not Present,Adequate,Replace,Moderate,Minor,Replace,Fair,Not Researched,Yes,Yes,Yes,Fair,Yes
"Kenny, Thomas J. Elementary",Kenny Elementary,"19 Oakton Ave Dorchester, MA 02122",K0-5,Owned,37578,37578,1926,1926,"CAD plans, site plans",98967,"$15,429.00",10270,"$12,224.00",35810,"$4,349.00","$32,002.00",Phase 3,312,312,Yes,No,Yes,Adequate,Adequate,Minor,Minor,Moderate,Moderate,Adequate,Moderate,Not Present,Minor,Moderate,Moderate,Replace,Replace,Replace,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,No,Fair,Listed,Not Listed,No,No,Poor,Yes,No,No,No,Yes,Minor,Minor,Minor,Minor,Moderate,Moderate,Minor,Minor,Minor,Adequate,Good,Not Researched,Yes,Yes,Yes,Good,Yes
"Kilmer, Joyce K-8 (Lower School)",Kilmer K-8 Lower,"35 Baker St West Roxbury, MA 02132",K1-3,Owned,25068,25068,,1935,"Program plans, MSBA space comparison plans, CAD plans, site plans",100072,"$14,150.00",8111,"$9,830.00",35450,"$4,316.00","$28,296.00",Phase 2,243,243,Yes,No,Yes,Minor,Adequate,Replace,Adequate,Replace,Not Present,Adequate,Moderate,Not Present,Adequate,Moderate,Adequate,Adequate,Adequate,Replace,Not Observed,Yes,Yes,Not Observed,Not Observed,No,Fair,Not Listed,Not Listed,No,No,Poor,Yes,No,No,No,Yes,Minor,Minor,Moderate,Adequate,Minor,Minor,Minor,Minor,Minor,Minor,Good,Not Researched,No,Yes,Yes,Good,Yes
"Kilmer, Joyce K-8 (Upper School)",Kilmer K-8 Upper,"140 Russett Rd West Roxbury, MA 02132",04-ago,Owned,16394,16394,1935,1928,"CAD plans, site plans",,,,,,, $-   ,Phase 3,195,195,Yes,No,Yes,Moderate,Adequate,Replace,Adequate,Minor,Moderate,Minor,Moderate,Not Present,Minor,Moderate,Minor,Adequate,Adequate,Replace,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Fair,Listed,Not Listed,No,Yes,Good,Yes,No,No,No,No,Minor,Moderate,Moderate,Minor,Not Present,Not Present,Adequate,Minor,Moderate,Minor,Fair,Not Researched,No,Yes,Yes,Fair,Yes
"King, Martin Luther, Jr K-8",King Middle,"77 Lawrence Ave Dorchester, MA 02121",K0-8,Owned,113462,113462,1937,1937,"CAD plans, site plans",284100,"$45,002.00",46693,"$55,473.00",73820,"$9,277.00","$109,752.00",Phase 3,497,497,Yes,No,Yes,Minor,Adequate,Minor,Minor,Moderate,Minor,Minor,Moderate,Not Present,Minor,Replace,Moderate,Moderate,Replace,Replace,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Fair,Not Listed,Not Listed,Yes,Yes,Poor,Yes,No,No,Yes,No,Minor,Adequate,Minor,Minor,Minor,Adequate,Adequate,Minor,Adequate,Adequate,Good,Not Researched,No,Yes,Yes,Good,Yes
Lee Academy at the Fifield,Fifield,"25 Dunbar Av Dorchester, MA 02124",K0-1,Owned,31654,31654,1971,1916,"Program plans, MSBA space comparison plans, CAD plans, site plans",81805,"$13,418.00",14792,"$17,155.00",32010,"$3,861.00","$34,434.00",Phase 2,196,196,Yes,No,Yes,Minor,Minor,Minor,Replace,Moderate,Not Present,Adequate,Moderate,Not Present,Adequate,Moderate,Replace,Adequate,Adequate,Replace,Not Observed,Yes,Yes,Not Observed,Yes,Yes,Fair,Not Listed,Not Listed,No,No,Poor,Yes,No,No,No,No,Minor,Moderate,Moderate,Minor,Not Present,Minor,Adequate,Minor,Minor,Not Present,Fair,Not Researched,Yes,Yes,Yes,Fair,Yes
"Lee, Joseph K-8",Joseph Lee Elementary,"155 Talbot Ave Dorchester, MA02124",K0-8,Owned,153460,146371,1971,1971,"CAD plans, site plans",494502,"$128,505.00",122164,"$131,602.00",311000,"$41,041.00","$301,148.00",Phase 3,629,629,Yes,No,Yes,Moderate,Minor,Adequate,Moderate,Minor,Replace,Adequate,Adequate,Not Present,Adequate,Adequate,Minor,Minor,Replace,Adequate,Not Observed,Yes,Yes,Not Observed,Not Observed,Yes,Good,Not Listed,Not Listed,No,Yes,Excellent,Yes,No,No,No,No,Moderate,Adequate,Adequate,Replace,Adequate,Adequate,Minor,Minor,Replace,Adequate,Good,Not Researched,No,Yes,Yes,Good,Yes
"Lyndon, Patrick K-8",Lyndon K-8,"20 Mt Vernon St West Roxbury, MA 02132",K1-8,Owned,93374,93374,1919,1919,"CAD plans, site plans",576307,"$141,923.00",136956,"$148,757.00",343010,"$44,902.00","$335,582.00",Phase 3,552,552,Yes,No,Yes,Adequate,Adequate,Minor,Minor,Moderate,Moderate,Minor,Adequate,Not Present,Minor,Minor,Adequate,Replace,Moderate,Minor,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Good,Listed,Not Listed,No,No,Fair,Yes,No,No,No,No,Minor,Minor,Minor,Moderate,Moderate,Adequate,Minor,Minor,Moderate,Minor,Good,Not Researched,No,Yes,Yes,Good,Yes
"Lyon, Mary High",Garfield,"95 Beechcroft St Brighton, MA 02135",09-dic,Owned,47314,47314,1935,1925,"CAD plans, site plans",114480,"$16,512.00",23058,"$26,268.00",44360,"$5,794.00","$48,574.00",Phase 3,131,131,Yes,No,Yes,Minor,Adequate,Minor,Adequate,Moderate,Moderate,Minor,Minor,Not Present,Minor,Moderate,Minor,Moderate,Moderate,Minor,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,No,Good,Listed,Not Listed,Yes,No,Poor,Yes,No,No,No,No,Moderate,Moderate,Moderate,Minor,Moderate,Not Present,Moderate,Minor,Moderate,Moderate,Fair,Not Researched,Yes,Yes,Yes,Fair,Yes
"Lyon, Mary K-8",Mary Lyon School,"50 Beechcroft St Brighton, MA 02135",K2-8,Owned,13336,13336,1926,1926,"CAD plans, site plans",101040,"$19,629.00",5578,"$7,083.00",15580,"$1,833.00","$28,545.00",Phase 3,137,137,Yes,No,Yes,Minor,Adequate,Minor,Adequate,Adequate,Minor,Minor,Minor,Not Present,Minor,Moderate,Minor,Moderate,Moderate,Replace,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,No,Good,Listed,Not Listed,No,No,Deficient,Yes,No,No,Yes,No,Moderate,Moderate,Adequate,Adequate,Minor,Not Present,Minor,Minor,Replace,Minor,Fair,Not Researched,Yes,Yes,Yes,Fair,No
Madison Park Technical Vocational High,Madison Park High,"75 Malcolm X Blvd Roxbury, MA 02120",09-dic,Owned,671701,659019,1977,1977,"CAD plans, site plans",,,,,,, $-   ,Phase 3,903,903,Yes,No,Yes,Adequate,Adequate,Moderate,Minor,Minor,Minor,Minor,Minor,Replace,Minor,Minor,Moderate,Minor,Minor,Adequate,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Good,Not Listed,Not Listed,No,Yes,Excellent,Yes,No,No,Yes,Yes,Replace,Adequate,Adequate,Moderate,Adequate,Minor,Adequate,Replace,Minor,Adequate,Good,Not Researched,Yes,Yes,Yes,Good,Yes
"Manning, Joseph P. Elementary",Manning Elementary,"130 Louders Lane Jamaica Plain, MA 02130",K1-5,Owned,17391,17391,1941,1941,"CAD plans, site plans",84624,"$13,386.00",10052,"$11,948.00",22160,"$2,639.00","$27,973.00",Phase 3,162,162,Yes,No,No,Not Present,Adequate,Minor,Minor,Moderate,Moderate,Minor,Moderate,Not Present,Adequate,Moderate,Moderate,Moderate,Moderate,Moderate,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Fair,Not Listed,Not Listed,No,Yes,Poor,Yes,No,No,No,Yes,Replace,Minor,Moderate,Minor,Minor,Minor,Replace,Minor,Replace,Not Present,Fair,Not Researched,No,Yes,Yes,Fair,No
"Mason, Samuel W. Elementary",Mason Elementary,"150 Norfolk Ave Roxbury, MA 02119",K0-5,Owned,27642,27642,1905,1905,"CAD plans, site plans",87640,"$13,892.00",13551,"$15,819.00",44080,"$5,401.00","$35,112.00",Phase 3,231,231,Yes,No,No,Not Present,Adequate,Replace,Adequate,Moderate,Moderate,Minor,Minor,Not Present,Moderate,Adequate,Adequate,Replace,Moderate,Not Present,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Fair,Not Listed,Not Listed,No,No,Poor,Yes,No,Yes,No,No,Minor,Minor,Minor,Replace,Not Present,Not Present,Replace,Moderate,Replace,Not Present,Poor,Not Researched,No,Yes,Yes,Poor,No
Mather Elementary,Mather Elementary,"24 Parish St Dorchester, MA 02122",K1-5,Owned,76974,76974,1905,1905,"CAD plans, site plans",190940,"$30,118.00",10725,"$12,731.00",99680,"$12,906.00","$55,755.00",Phase 3,601,601,Yes,No,Yes,Adequate,Adequate,Moderate,Moderate,Replace,Replace,Minor,Minor,Replace,Adequate,Minor,Adequate,Replace,Replace,Not Present,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Fair,Listed,Not Listed,No,No,Fair,Yes,No,No,No,Yes,Adequate,Minor,Adequate,Moderate,Not Present,Minor,Not Present,Replace,Minor,Moderate,Fair,Not Researched,Yes,Yes,Yes,Fair,Yes
Mattahunt Elementary,Mattahunt Elementary,"100 Hebron St Mattapan, MA 02126",K0-5,Owned,171025,135658,1972,1977,"Program plans, MSBA space comparison plans, CAD plans, site plans",780200,"$147,846.00",123371,"$108,616.00",181708,"$23,580.00","$280,042.00",Phase 2,616,616,Yes,No,Yes,Adequate,Adequate,Minor,Adequate,Adequate,Moderate,Adequate,Adequate,Not Present,Adequate,Adequate,Minor,Adequate,Adequate,Adequate,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,No,Excellent,Not Listed,Not Listed,Yes,Yes,Good,Yes,No,No,No,Yes,Moderate,Moderate,Adequate,Moderate,Minor,Minor,Moderate,Replace,Minor,Adequate,Fair,Not Researched,No,No,No,Fair,Yes
"McCormack, John W Middle",McCormack Middle,"315 Mt Vernon St Dorchester, MA 02125",06-ago,Owned,115941,115941,1967,1967,"Program plans, MSBA space comparison plans, CAD plans, site plans",493520,"$76,625.00",86865,"$109,138.00",149580,"$19,400.00","$205,163.00",Phase 2,519,519,Yes,No,Yes,Adequate,Adequate,Minor,Moderate,Moderate,Moderate,Adequate,Adequate,Moderate,Adequate,Moderate,Minor,Adequate,Adequate,Adequate,Not Observed,Not Observed,Yes,Not Observed,Not Observed,No,Good,Not Listed,Not Listed,Yes,No,Fair,Yes,No,Yes,No,Yes,Moderate,Adequate,Adequate,Minor,Adequate,Minor,Moderate,Minor,Moderate,Adequate,Good,Not Researched,Yes,No,No,Good,Yes
"McKay, Donald K-8",McKay School,"122 Cottage St East Boston, MA 02128",K2-8,Owned,79082,79082,1926,1926,"CAD plans, site plans",313364,"$45,327.00",13619,"$23,804.00",71820,"$9,315.00","$78,446.00",Phase 3,690,690,Yes,No,Yes,Adequate,Adequate,Replace,Minor,Minor,Minor,Adequate,Moderate,Not Present,Minor,Moderate,Moderate,Minor,Moderate,Moderate,Not Observed,Yes,,Not Observed,Not Observed,Yes,Fair,Listed,Not Listed,No,Yes,Fair,Yes,No,Yes,No,Yes,Replace,Minor,Adequate,Replace,Not Present,Moderate,Adequate,Minor,Minor,Not Present,Fair,Not Researched,Yes,Yes,Yes,Fair,Yes
McKinley Middle,McKinley Middle,"50 St Mary St Boston, MA 02215",06-ago,Owned,17299,17299,1923,1923,"CAD plans, site plans",45640,"$6,815.00",5685,"$7,185.00",11390,"$1,325.00","$15,325.00",Phase 3,55,55,Yes,No,Yes,Minor,Adequate,Adequate,Moderate,Moderate,Moderate,Minor,Replace,Not Present,Minor,Replace,Replace,Moderate,Moderate,Replace,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Fair,Not Listed,Not Listed,No,No,Poor,Yes,No,Yes,No,No,Replace,Adequate,Moderate,Replace,Not Present,Not Present,Replace,Replace,Moderate,Moderate,Poor,Not Researched,Yes,Yes,Yes,Poor,No
"McKinley, Wm So. End Academy",McKinley Elementary,"90 Warren Ave Boston, MA 02116",K2-5,Owned,78258,78258,1959,1959,"Program plans, MSBA space comparison plans, CAD plans, site plans",197000,"$34,327.00",36486,"$41,112.00",63630,"$8,661.00","$84,100.00",Phase 2,222,222,Yes,No,Yes,Replace,Minor,Moderate,Adequate,Adequate,Not Present,Adequate,Moderate,Moderate,Replace,Moderate,Minor,Adequate,Adequate,Adequate,Yes,Not Observed,Yes,Not Observed,Yes,No,Good,Not Listed,Not Listed,Yes,No,Fair,Yes,No,Yes,No,Yes,Minor,Adequate,Adequate,Minor,Moderate,Replace,Minor,Minor,Moderate,Adequate,Good,Not Researched,Yes,Yes,Yes,Good,Yes
"McKinley, Wm. Preparatory High ",McKinley Preparatory High,"97 Peterborough St Boston, MA 02215",09-dic,Owned,19819,19819,1929,1929,"CAD plans, site plans",60120,"$9,159.00",9749,"$11,612.00",15230,"$1,799.00","$22,570.00",Phase 3,103,103,Yes,No,Yes,Minor,Adequate,Moderate,Replace,Replace,Moderate,Moderate,Replace,Not Present,Minor,Replace,Moderate,Moderate,Replace,Replace,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Yes,Fair,Not Listed,Not Listed,No,No,Poor,Yes,No,Yes,No,No,Replace,Minor,Adequate,Replace,Not Present,Moderate,Moderate,Replace,Moderate,Minor,Poor,Not Researched,Yes,Yes,Yes,Poor,No
"Mendell, Ellis Elementary",Mendell,"164 School St Roxbury, MA 02119",K1-5,Owned,31820,31820,1903,1904,"CAD plans, site plans",107908,"$14,798.00",14202,"$16,530.00",91550,"$11,561.00","$42,889.00",Phase 3,232,232,Yes,No,Yes,Adequate,Adequate,Minor,Moderate,Moderate,Replace,Minor,Minor,Not Present,Minor,Moderate,Minor,Replace,Moderate,Minor,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Fair,Not Listed,Not Listed,No,No,Fair,Yes,No,No,No,No,Adequate,Moderate,Replace,Moderate,Not Present,Minor,Adequate,Minor,Minor,Not Present,Fair,Not Researched,Yes,No,Yes,Fair,No
Mildred Avenue K-8,Mildred Avenue Middle,"5 Mildred Ave Mattapan, MA 02126",K0-8,Owned,214093,179611,2002,2002,"CAD plans, site plans",1739760,"$250,672.00",68474,"$76,238.00",266910,"$37,196.00","$364,106.00",Phase 3,421,421,Yes,No,Yes,Adequate,Adequate,Adequate,Adequate,Adequate,Adequate,Adequate,Adequate,Adequate,Adequate,Adequate,Adequate,Adequate,Adequate,Adequate,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Excellent,Not Listed,Not Listed,No,Yes,Excellent,Yes,No,No,No,Yes,Adequate,Minor,Adequate,Adequate,Adequate,Adequate,Adequate,Adequate,Not Present,Adequate,Excellent,Not Researched,Yes,Yes,Yes,Excellent,Yes
Mission Hill K-8*,Agassiz,"20 Child St Jamaica Plain, MA 02130",K0-8,Owned,57700,57700,1997,1972,"CAD plans, site plans",424360,"$92,118.00",85825,"$95,706.00",113690,"$15,138.00","$202,962.00",Phase 3,227,529,Yes,No,Yes,Adequate,Adequate,Adequate,Minor,Minor,Adequate,Adequate,Adequate,Adequate,Adequate,Moderate,Adequate,Moderate,Minor,Adequate,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Good,Not Listed,Not Listed,No,Yes,Good,Yes,No,No,No,Yes,Minor,Moderate,Minor,Moderate,Minor,Adequate,Minor,Minor,Minor,Adequate,Good,Not Researched,Yes,Yes,Yes,Good,Yes
"Mozart, Wolfgang A. Elementary",Mozart,"236 Beech St Roslindale, MA 02131",K1-5,Owned,16248,16248,1932,1932,"CAD plans, site plans",58372,"$8,866.00",7847,"$9,515.00",35180,"$4,296.00","$22,677.00",Phase 3,176,176,Yes,No,Yes,Adequate,Adequate,Adequate,Replace,Moderate,Replace,Moderate,Moderate,Not Present,Adequate,Moderate,Minor,Replace,Moderate,Not Present,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Fair,Not Listed,Not Listed,No,No,Poor,Yes,No,No,Yes,No,Replace,Adequate,Moderate,Minor,Replace,Moderate,Minor,Minor,Adequate,Minor,Fair,Not Researched,No,Yes,Yes,Fair,Yes
"Muniz, Margarita Academy*",Agassiz,"20 Child Street Jamaica Plain, MA 02130",09-dic,Owned,57700,57700,2012,1972,"CAD plans, site plans",424360,"$92,118.00",85825,"$95,706.00",113690,"$15,138.00","$202,962.00",Phase 3,302,529,Yes,No,Yes,Adequate,Adequate,Adequate,Minor,Minor,Adequate,Adequate,Adequate,Adequate,Adequate,Moderate,Adequate,Minor,Adequate,Adequate,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Excellent,Not Listed,Not Listed,No,Yes,Good,Yes,No,No,No,No,Minor,Moderate,Minor,Moderate,Minor,Adequate,Minor,Minor,Minor,Adequate,Good,Not Researched,Yes,Yes,Yes,Good,Yes
"Murphy, Richard K-8",Murphy K-8,"1 Worrell St South Boston, MA 02122",K0-8,Owned,147548,138880,1973,1973,"CAD plans, site plans",690696,"$149,280.00",106816,"$118,450.00",220552,"$30,270.00","$298,000.00",Phase 3,917,917,Yes,Yes,Yes,Minor,Minor,Replace,Adequate,Minor,Moderate,Adequate,Minor,Not Present,Adequate,Minor,Minor,Replace,Moderate,Minor,Not Observed,Yes,Yes,Not Observed,Yes,Yes,Good,Not Listed,Not Listed,No,Yes,Good,Yes,Yes,Yes,No,No,Moderate,Minor,Minor,Replace,Moderate,Adequate,Moderate,Moderate,Replace,Not Present,Fair,Not Researched,Yes,Yes,Yes,Fair,Yes
New Mission High*,Hyde Park High Complex,"655 Metropolitan Av Hyde Park, MA 02136",09-dic,Owned,63687,63687,2005,1929,"CAD plans, site plans",1016346,"$152,573.00",87336,"$64,059.00",120635,"$16,435.00","$233,067.00",Phase 3,319,825,Yes,No,Yes,Adequate,Adequate,Adequate,Minor,Minor,Adequate,Adequate,Adequate,Adequate,Adequate,Minor,Adequate,Moderate,Minor,Minor,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Good,Listed,Not Listed,No,Yes,Good,Yes,No,No,No,No,Minor,Minor,Moderate,Moderate,Replace,Minor,Minor,Minor,Not Present,Minor,Fair,Not Researched,No,Yes,Yes,Fair,Yes
"O'Bryant, John D. School of Mathematics & Science",O'Bryant,"55 Malcolm X Blvd Roxbury, MA 02120",07-dic,Owned,246401,246401,1977,1977,"CAD plans, site plans",,,,,,, $-   ,Phase 3,1428,1428,Yes,No,Yes,Replace,Adequate,Replace,Minor,Minor,Minor,Minor,Moderate,Replace,Minor,Replace,Minor,Minor,Minor,Adequate,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Good,Not Listed,Not Listed,No,Yes,Good,Yes,No,No,Yes,Yes,Minor,Adequate,Adequate,Adequate,Adequate,Minor,Adequate,Minor,Minor,Adequate,Excellent,Not Researched,Yes,Yes,Yes,Excellent,Yes
"O'Donnell, Hugh R. Elementary",O'Donnell Elementary,"33 Trenton St East Boston, MA 02128",K1-5,Owned,24648,24648,1931,1932,"CAD plans, site plans",88928,"$12,770.00",6842,"$8,488.00",47660,"$5,822.00","$27,080.00",Phase 3,295,295,Yes,No,Yes,Moderate,Adequate,Moderate,Replace,Moderate,Replace,Adequate,Moderate,Not Present,Adequate,Moderate,Replace,Replace,Replace,Replace,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Fair,Listed,Listed,No,No,Poor,Yes,No,No,No,No,Not Present,Minor,Minor,Minor,Replace,Minor,Adequate,Moderate,Replace,Minor,Fair,Not Researched,Yes,Yes,Yes,Fair,Yes
"Ohrenberger, William H. K-8",Ohrenberger,"175 W Boundary Rd West Roxbury, MA 02132",03-ago,Owned,111592,111592,1972,1972,"CAD plans, site plans",621552,"$131,102.00",75513,"$85,184.00",113260,"$14,672.00","$230,958.00",Phase 3,629,629,Yes,No,Yes,Minor,Adequate,Minor,Adequate,Adequate,Minor,Minor,Adequate,Moderate,Minor,Adequate,Adequate,Minor,Minor,Adequate,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Good,Not Listed,Not Listed,Yes,Yes,Excellent,Yes,No,No,No,Yes,Replace,Adequate,Moderate,Moderate,Adequate,Not Present,Replace,Minor,Replace,Not Present,Fair,Not Researched,No,Yes,Yes,Fair,Yes
Orchard Gardens K-8,Orchard Gardens K-8,"906 Albany St Roxbury, MA 02119",K1-8,Owned,141872,141872,2002,2002,"CAD plans, site plans",1253910,"$229,694.00",61989,"$68,979.00",222155,"$28,956.00","$327,629.00",Phase 3,844,844,Yes,No,Yes,Adequate,Adequate,Adequate,Adequate,Adequate,Adequate,Adequate,Adequate,Adequate,Adequate,Adequate,Minor,Adequate,Adequate,Adequate,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Excellent,Not Listed,Not Listed,No,Yes,Excellent,Yes,No,No,No,No,Not Present,Adequate,Adequate,Adequate,Adequate,Minor,Adequate,Adequate,Minor,Minor,Good,Not Researched,Yes,Yes,Yes,Good,Yes
"Otis, James Elementary",Otis Elementary,"218 Marion St East Boston, MA 02128",K1-5,Owned,35000,35000,1905,1905,"CAD plans, site plans",105468,"$16,080.00",11584,"$13,644.00",150830,"$19,688.00","$49,412.00",Phase 3,402,402,Yes,No,Yes,Moderate,Adequate,Replace,Adequate,Moderate,Replace,Adequate,Moderate,Not Present,Adequate,Moderate,Minor,Replace,Replace,Not Present,Not Observed,Yes,,Not Observed,Not Observed,Yes,Fair,Not Listed,Not Listed,No,No,Poor,Yes,No,Yes,No,No,Not Present,Minor,Minor,Adequate,Replace,Adequate,Adequate,Minor,Moderate,Not Present,Fair,Not Researched,Yes,Yes,Yes,Fair,No
"Perkins, Michael J. Elementary",Perkins Elementary,"50 Rev Burke St Boston, MA 02127",K2-5,Owned,28407,28407,1926,1926,"CAD plans, site plans",92496,"$11,989.00",12818,"$14,975.00",27620,"$3,312.00","$30,276.00",Phase 3,230,230,Yes,No,Yes,Minor,Adequate,Minor,Minor,Moderate,Moderate,Adequate,Moderate,Not Present,Moderate,Moderate,Minor,Replace,Moderate,Moderate,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,No,Fair,Not Listed,Not Listed,No,No,Fair,Yes,No,Yes,No,No,Moderate,Adequate,Adequate,Moderate,Not Present,Minor,Adequate,Moderate,Moderate,Minor,Fair,Not Researched,Yes,Yes,Yes,Fair,Yes
"Perry, Oliver Hazard K-8",Perry Elementary,"745 E Seventh St South Boston, MA 02127",K1-8,Owned,38744,38744,1905,1904,"CAD plans, site plans",95648,"$12,903.00",16230,"$24,982.00",27500,"$3,311.00","$41,196.00",Phase 3,232,232,Yes,No,Yes,Moderate,Adequate,Replace,Adequate,Moderate,Moderate,Minor,Replace,Not Present,Adequate,Moderate,Adequate,Minor,Moderate,Replace,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Fair,Listed,Not Listed,No,No,Poor,Yes,No,Yes,No,No,Replace,Minor,Adequate,Moderate,Not Present,Minor,Adequate,Moderate,Moderate,Adequate,Fair,Not Researched,No,Yes,Yes,Fair,Yes
"Philbrick, John D. Elementary",Philbrick Elementary,"40 Philbrick St Roslindale, MA 02131",K1-5,Owned,19480,19480,1913,1913,"CAD plans, site plans",73316,"$11,259.00",6756,"$8,346.00",29080,"$3,482.00","$23,087.00",Phase 3,165,165,Yes,No,Yes,Minor,Minor,Adequate,Adequate,Moderate,Moderate,Adequate,Replace,Not Present,Minor,Moderate,Minor,Replace,Moderate,Replace,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Yes,Fair,Not Listed,Not Listed,No,No,Poor,No,No,No,No,No,Moderate,Moderate,Replace,Minor,Moderate,Moderate,Minor,Minor,Minor,Moderate,Fair,Not Researched,No,Yes,Yes,Fair,No
"Quincy, Josiah Elementary",Josiah Quincy Elementary,"885 Washington St Boston, MA 02111",K0-5,Owned,212079,183541,1976,1976,"CAD plans, site plans",1830840,"$249,768.00",75299,"$83,904.00",498720,"$66,578.00","$400,250.00",Phase 3,796,796,Yes,No,No,Replace,Adequate,Replace,Adequate,Moderate,Moderate,Moderate,Minor,Not Present,Minor,Moderate,Moderate,Minor,Moderate,Adequate,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Fair,Not Listed,Not Listed,No,Yes,Excellent,Yes,No,Yes,No,No,Not Present,Minor,Replace,Minor,Minor,Minor,Minor,Minor,Adequate,Minor,Good,Not Researched,Yes,Yes,Yes,Good,No
